Simulation Filename,Realistic Filename,Mean Square Error(MSE),Structural Similarity(SSIM),ERROR,Img Subtraction
2.0028.png,2.0027.png,0.15468435,0.1,0.9,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.04313725 0.08627451 0.15686275 ... 0.00392157 0.00392157 0.00392157]
 [0.04705882 0.08627451 0.16470588 ... 0.00392157 0.00392157 0.00392157]
 [0.05882353 0.09411765 0.16078431 ... 0.00392157 0.00392157 0.00784314]]"
2.0030.png,2.0029.png,0.13257469,0.12,0.88,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.00392157 0.00784314 0.00784314 ... 0.01176471 0.01176471 0.01960784]
 [0.         0.00392157 0.00784314 ... 0.01568627 0.01568627 0.        ]
 [0.00392157 0.00784314 0.00784314 ... 0.01960784 0.00784314 0.00392157]]"
2.0032.png,2.0031.png,0.13088945,0.12,0.88,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.01960784 0.01176471 0.00392157 ... 0.12156863 0.18431373 0.20784314]
 [0.01176471 0.01176471 0.00784314 ... 0.10980392 0.17254902 0.21176471]
 [0.01176471 0.         0.01176471 ... 0.11764706 0.16470588 0.20392157]]"
2.0034.png,2.0033.png,0.12630275,0.13,0.87,"[[0.25098039 0.17254902 0.07843137 ... 0.         0.         0.        ]
 [0.42352941 0.3372549  0.23921569 ... 0.         0.         0.        ]
 [0.59607843 0.50588235 0.34509804 ... 0.         0.         0.        ]
 ...
 [0.01960784 0.02352941 0.01960784 ... 0.32156863 0.19607843 0.16078431]
 [0.01568627 0.01960784 0.01568627 ... 0.29803922 0.22745098 0.20392157]
 [0.01176471 0.01568627 0.01176471 ... 0.3254902  0.25098039 0.23529412]]"
2.0036.png,2.0035.png,0.10758917,0.18,0.8200000000000001,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.33333333 0.29019608 0.1254902  ... 0.01960784 0.00784314 0.01176471]
 [0.25098039 0.17647059 0.09411765 ... 0.02352941 0.01960784 0.01176471]
 [0.13333333 0.08235294 0.02352941 ... 0.02745098 0.01960784 0.01176471]]"
2.0038.png,2.0037.png,0.10461799,0.21,0.79,"[[0.01176471 0.00784314 0.00392157 ... 0.         0.         0.        ]
 [0.04705882 0.03921569 0.03529412 ... 0.         0.         0.        ]
 [0.11764706 0.0745098  0.03529412 ... 0.         0.         0.        ]
 ...
 [0.00392157 0.00392157 0.01176471 ... 0.04705882 0.04313725 0.03137255]
 [0.00392157 0.00392157 0.01568627 ... 0.04705882 0.04313725 0.03529412]
 [0.         0.00392157 0.01960784 ... 0.04705882 0.03921569 0.03137255]]"
2.0040.png,2.0039.png,0.09028296,0.23,0.77,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.00392157 ... 0.01568627 0.01176471 0.00784314]
 [0.         0.         0.00392157 ... 0.01960784 0.01960784 0.03137255]
 [0.         0.         0.00392157 ... 0.03529412 0.04313725 0.0745098 ]]"
2.0042.png,2.0041.png,0.08694313,0.27,0.73,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.05882353 0.04705882 0.02745098 ... 0.57254902 0.48627451 0.34117647]
 [0.02745098 0.02745098 0.02745098 ... 0.63921569 0.51372549 0.43921569]
 [0.05098039 0.03137255 0.00784314 ... 0.66666667 0.58823529 0.50196078]]"
2.0044.png,2.0043.png,0.08619828,0.28,0.72,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.00392157 0.00392157 0.00392157 ... 0.3254902  0.3254902  0.29411765]
 [0.         0.00392157 0.00784314 ... 0.32941176 0.33333333 0.30588235]
 [0.         0.00392157 0.01176471 ... 0.30980392 0.3254902  0.30588235]]"
2.0046.png,2.0045.png,0.06571638,0.32,0.6799999999999999,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.14117647 0.14509804 0.19607843 ... 0.09019608 0.09803922 0.09019608]
 [0.18431373 0.17254902 0.19215686 ... 0.02745098 0.03529412 0.03137255]
 [0.22745098 0.19215686 0.14509804 ... 0.00392157 0.00392157 0.00392157]]"
